,speaker,Text,minutes,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
10,Henry Winkler,I love it so much I don't know what else to do.,0.5833333333333334,I love it so much I don't know what else to do.,7,7_do_play_love_that,"['do', 'play', 'love', 'that', 'pieces', 'characters', 'lot', 'youre', 'different', 'broken']","[""I love him. I've only taught four or five times, and I have thoroughly enjoyed it. It is written so well that I don't know what to do.  And again, everything is, we are blessed with wonderful writers because if it's not on the page it ain't on the stage. I love the people that I work with. They are an incredible ensemble that make me better. And I just thoroughly love going to work every day."", "" The struggle to maintain your innocence, maintain that wonder and that divine spark in a world that's seemingly cruel and out of control. Also, the grief aspect of it, the how do you keep that together when you've been hit by a freight train? And you know, I have, and I know what that's like. I don't believe that any actor can really do a part unless that part finds them. You don't find parts, they find you when you're ready to do them and when you're informed"", ""I wish that someone had told us about how much of it has to do with that, navigating the business of it and how much you have to do to get to the point where you get to do the thing that you love to do. How to manage your time, how to manage your relationships and your family and how to do all the things that you need to do to stay a whole person while you're trying to continue to give all of that out when you're on a set, you know, it's a lot to do, and I don't think, I think we just take it for granted. We look at it and go, wow, that's so exciting. I wanna play these different people and these different characters and you're like, what's all this other stuff? And it's a lot of other stuff.""]",do - play - love - that - pieces - characters - lot - youre - different - broken,0.8523341178731877,False
11,Sacha Baron Cohen,Starting with Timothy. ,0.6833333333333333,Starting with Timothy. ,0,0_was_of_show_said,"['was', 'of', 'show', 'said', 'at', 'years', 'like', 'know', 'he', 'entire']","[""I committed hubris. I thought not that I was great, but that it was such a big show and it was so international. It was everywhere. That I was going to go from mountaintop to mountaintop. I was going to beat the system. I looked down and there were grass stains on the knees of my jeans 'cause I slid right into the valley, it was very difficult to get hired as an actor, and I had no plan B. I was seven years old, I dreamt of doing this thing. I did it and I did it with an explosion. Now it's over and I had no idea how or what to do next."", ""And I'm in front, and I did a cartoon of myself tripping over the ottoman in front of the television, and those are the types of things that keep happening to me. I'm constantly being reminded, oh, I made it. Oh my gosh, that's wonderful. And the first time I think In Living Color was huge, was a huge thing for me and it was like they planted me, you know, my seedling in the garden and I had a chance to bloom on that show. So I got a taste of it there. And that time in Chicago when Siskel and Ebert hated my movie and then Friday happened and it was a giant hit, and the hotel staff where I was staying put a dog bowl in my room with candies in it."", ""Three days before it came out they had the words on a page. And I just looked and it said, the worst movie ever made. Worst actor ever made, this is the end. This is whatever. It was completely original. No one had seen it, so. It was so scathing. I've been disappointed so many times in my career I have an automatic downshift. I go, well, okay, don't know how it's gonna happen, but I'm gonna have to break a basement window or something. And what happened to my just absolute delight was that by the time I had done Truman Show Siskel and Ebert did an entire episode just about me and called it Jim Carrey, Clown With Class. And I get emotional thinking about that. It was incredible, like they just said, we were wrong. And I've never seen a critic say that. But of them said, we were wrong. We didn't know what we were seeing.""]",was - of - show - said - at - years - like - know - he - entire,0.7629361289244644,False
12,Timothy Simons,"Cause there is no ceiling to the amount of attention I need positive or negative, and this is a business that provides that.",0.8,"Cause there is no ceiling to the amount of attention I need positive or negative, and this is a business that provides that.",3,3_people_do_be_mean,"['people', 'do', 'be', 'mean', 'think', 'im', 'when', 'like', 'thing', 'feel']","[""The thing that I think that I've sort of struggled with over the last couple years is like where I grew up. I grew up in a really small town. One of the things I didn't like about that is the fact that everybody kinda knows your business, and so when I was a kid all I wanted to do was get to a city and get to anonymity."", ""I think it's a balancing act for me, too. Cause careers, if you celebrate your career in the moment then it feels like you're slowing down. So you're always looking for what's next or what can I do better? Or one of these days, literally, I'm gonna be good. You know, that kind of thinking, you know, as opposed to celebrating, but you also don't wanna be a shmo and not go, thank you, thank you."", ""Than giving a selfie because selfies stop the world. You know, they stop life. You then go like that and it's going on Instagram to give people a false sense of relevance. I picture Steve Jobs sometimes. Everybody's so gaga about Steve Jobs. I picture him in hell running from demons who want a selfie. And that's something I have to kind of live with. Nothing to do with the person that comes up because they're programmed to react to celebrity that way. They don't even think of another way to react.""]",people - do - be - mean - think - im - when - like - thing - feel,1.0,False
13,Sacha Baron Cohen,Because I can do nothing else. Not really.,0.9,Because I can do nothing else. Not really.,3,3_people_do_be_mean,"['people', 'do', 'be', 'mean', 'think', 'im', 'when', 'like', 'thing', 'feel']","[""The thing that I think that I've sort of struggled with over the last couple years is like where I grew up. I grew up in a really small town. One of the things I didn't like about that is the fact that everybody kinda knows your business, and so when I was a kid all I wanted to do was get to a city and get to anonymity."", ""I think it's a balancing act for me, too. Cause careers, if you celebrate your career in the moment then it feels like you're slowing down. So you're always looking for what's next or what can I do better? Or one of these days, literally, I'm gonna be good. You know, that kind of thinking, you know, as opposed to celebrating, but you also don't wanna be a shmo and not go, thank you, thank you."", ""Than giving a selfie because selfies stop the world. You know, they stop life. You then go like that and it's going on Instagram to give people a false sense of relevance. I picture Steve Jobs sometimes. Everybody's so gaga about Steve Jobs. I picture him in hell running from demons who want a selfie. And that's something I have to kind of live with. Nothing to do with the person that comes up because they're programmed to react to celebrity that way. They don't even think of another way to react.""]",people - do - be - mean - think - im - when - like - thing - feel,0.9709203149498095,False
14,Don Cheadle,You write.,1.0,You write.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
15,Sacha Baron Cohen,"Oh yeah, oh yeah. Apart from writing.",1.0,"Oh yeah, oh yeah. Apart from writing.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
16,Don Cheadle,"You direct, you direct.",1.0,"You direct, you direct.",-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
17,Sacha Baron Cohen,"Okay, it's very rarely. Apart from writing and directing. ",1.0,"Okay, it's very rarely. Apart from writing and directing. ",7,7_do_play_love_that,"['do', 'play', 'love', 'that', 'pieces', 'characters', 'lot', 'youre', 'different', 'broken']","[""I love him. I've only taught four or five times, and I have thoroughly enjoyed it. It is written so well that I don't know what to do.  And again, everything is, we are blessed with wonderful writers because if it's not on the page it ain't on the stage. I love the people that I work with. They are an incredible ensemble that make me better. And I just thoroughly love going to work every day."", "" The struggle to maintain your innocence, maintain that wonder and that divine spark in a world that's seemingly cruel and out of control. Also, the grief aspect of it, the how do you keep that together when you've been hit by a freight train? And you know, I have, and I know what that's like. I don't believe that any actor can really do a part unless that part finds them. You don't find parts, they find you when you're ready to do them and when you're informed"", ""I wish that someone had told us about how much of it has to do with that, navigating the business of it and how much you have to do to get to the point where you get to do the thing that you love to do. How to manage your time, how to manage your relationships and your family and how to do all the things that you need to do to stay a whole person while you're trying to continue to give all of that out when you're on a set, you know, it's a lot to do, and I don't think, I think we just take it for granted. We look at it and go, wow, that's so exciting. I wanna play these different people and these different characters and you're like, what's all this other stuff? And it's a lot of other stuff.""]",do - play - love - that - pieces - characters - lot - youre - different - broken,0.8492850883687054,False
18,Lacey Rose,You guys?,1.1166666666666667,You guys?,1,1_yeah_ballsy_aw_huh,"['yeah', 'ballsy', 'aw', 'huh', 'man', 'hes', 'guys', 'over', 'look', 'you']","['Yeah, yeah.', 'Yeah.', 'Yeah.']",yeah - ballsy - aw - huh - man - hes - guys - over - look - you,0.3255886666181508,False
19,Don Cheadle,I act because if you did what we do anywhere other than a place where they pay you to do it they would arrest you.,1.1166666666666667,I act because if you did what we do anywhere other than a place where they pay you to do it they would arrest you.,-1,-1_like_know_its_what,"['like', 'know', 'its', 'what', 'youre', 'do', 'they', 'on', 'about', 'at']","[""Yeah, it very often happens to me I've found in my work, and you're going, what am I pulling toward me? You know, it's not just that things are out there for you to go get, a lot of times these things are kind of coalescing around you and you're like, wow, did I pull that in so that I could work through this in some way, and it just feels like that a lot of time. So I always feel like there's a lot of me in whatever"", ""But it was, you know, Ace Ventura was a way to rip down arrogance and that, you know, the powers that be in any case and at the same time it's pure love. There's so much love in it, in that mocking except for the one I'm mocking necessarily, but even them I just wanna go, you know this is bullshit, right? You know you're full of it. But the performance is love, it's a dance for me. And I love actors who employed every bit of their instrument, you know, I mean, you look at James Dean, this is a man who was expressing everything with every, you know, he didn't just get emotional, he was emotion. It was tearing him apart! You know, and it was everything was in it, and I love that kind of thing, so I always think of myself as a kind of painting, you know? And it's an abstract painting a lot of times. So I know the method, I know Stanislavski and I know Meisner and I know what's good from them for me. I use it, and at the same time I'm painting. So don't tell me the eyes can't both be on this side of the head."", 'To piggyback on what everyone has said and that you ape and act like you came up with it.  That, you know, it\'s true. You are bringing yourself to these roles. We don\'t completely shut off and we\'re not there. We\'re there and you\'re exercising and you\'re accessing different parts of your personality, different parts of your pain, different parts of your joy and trying to find where you and this character meet. And sometimes you\'re reaching for things that are out there beyond you that you\'re trying to scaffold to and other times you\'re like, that\'s a little too close. Can we not do that beat right now? But if you\'re really honest, and I think all of us probably have a good relationship with the writers that we\'re working with that You\'re in a conversation. It\'s not like they just stick it all on the page and go, say all of that, you know. You\'re always in a conversation, and when you\'re in that conversation you\'re trying to get to the best iteration of what that thing is so you are bringing yourself to these moments, and that\'s when it sings. I mean, my writers are perfectly happy for me to improv a scene and they go, ""That\'s good, that was better, move on."" You know, best answer wins.']",like - know - its - what - youre - do - they - on - about - at,0.0,False
20,Lacey Rose, Fair.,1.2166666666666666, Fair.,11,11_totally_saying_no_thats,"['totally', 'saying', 'no', 'thats', 'understands', 'fair', 'nerve', 'validation', 'youre', 'right']","['Exactly.', 'Exactly.', 'Yeah, exactly.']",totally - saying - no - thats - understands - fair - nerve - validation - youre - right,0.9694967597811529,False
